"Id","ActivityDate","active_minutes","type_user"
1503960366,"2016-04-12",1094,Half day user
1503960366,"2016-04-13",1033,Half day user
1503960366,"2016-04-14",1440,All day user
1503960366,"2016-04-15",998,Half day user
1503960366,"2016-04-16",1040,Half day user
1503960366,"2016-04-17",761,Half day user
1503960366,"2016-04-18",1440,All day user
1503960366,"2016-04-19",1120,Half day user
1503960366,"2016-04-20",1063,Half day user
1503960366,"2016-04-21",1076,Half day user
1503960366,"2016-04-22",1440,All day user
1503960366,"2016-04-23",1056,Half day user
1503960366,"2016-04-24",991,Half day user
1503960366,"2016-04-25",1117,Half day user
1503960366,"2016-04-26",1166,Half day user
1503960366,"2016-04-27",1440,All day user
1503960366,"2016-04-28",1047,Half day user
1503960366,"2016-04-29",1086,Half day user
1503960366,"2016-04-30",1015,Half day user
1503960366,"2016-05-01",1044,Half day user
1503960366,"2016-05-02",1131,Half day user
1503960366,"2016-05-03",1144,Half day user
1503960366,"2016-05-04",1440,All day user
1503960366,"2016-05-05",1176,Half day user
1503960366,"2016-05-06",1073,Half day user
1503960366,"2016-05-07",1091,Half day user
1503960366,"2016-05-08",829,Half day user
1503960366,"2016-05-09",1098,Half day user
1503960366,"2016-05-10",1037,Half day user
1503960366,"2016-05-11",979,Half day user
1503960366,"2016-05-12",1440,All day user
1624580081,"2016-04-12",1440,All day user
1624580081,"2016-04-13",1440,All day user
1624580081,"2016-04-14",1440,All day user
1624580081,"2016-04-15",1440,All day user
1624580081,"2016-04-16",1440,All day user
1624580081,"2016-04-17",1440,All day user
1624580081,"2016-04-18",1440,All day user
1624580081,"2016-04-19",1440,All day user
1624580081,"2016-04-20",1440,All day user
1624580081,"2016-04-21",1440,All day user
1624580081,"2016-04-22",1440,All day user
1624580081,"2016-04-23",1440,All day user
1624580081,"2016-04-24",1440,All day user
1624580081,"2016-04-25",1440,All day user
1624580081,"2016-04-26",1440,All day user
1624580081,"2016-04-27",1440,All day user
1624580081,"2016-04-28",1440,All day user
1624580081,"2016-04-29",1440,All day user
1624580081,"2016-04-30",1440,All day user
1624580081,"2016-05-01",1440,All day user
1624580081,"2016-05-02",1440,All day user
1624580081,"2016-05-03",1440,All day user
1624580081,"2016-05-04",1440,All day user
1624580081,"2016-05-05",1440,All day user
1624580081,"2016-05-06",1440,All day user
1624580081,"2016-05-07",1440,All day user
1624580081,"2016-05-08",1440,All day user
1624580081,"2016-05-09",1440,All day user
1624580081,"2016-05-10",1440,All day user
1624580081,"2016-05-11",1440,All day user
1624580081,"2016-05-12",997,Half day user
1644430081,"2016-04-12",1440,All day user
1644430081,"2016-04-13",1440,All day user
1644430081,"2016-04-14",1440,All day user
1644430081,"2016-04-15",1440,All day user
1644430081,"2016-04-16",1440,All day user
1644430081,"2016-04-17",1440,All day user
1644430081,"2016-04-18",1440,All day user
1644430081,"2016-04-19",1440,All day user
1644430081,"2016-04-20",1440,All day user
1644430081,"2016-04-21",1440,All day user
1644430081,"2016-04-22",1440,All day user
1644430081,"2016-04-23",1440,All day user
1644430081,"2016-04-24",1440,All day user
1644430081,"2016-04-25",1440,All day user
1644430081,"2016-04-26",1440,All day user
1644430081,"2016-04-27",1440,All day user
